Time [s],Packet ID,MOSI,MISO
0.674888140000000,,0xFF,0x2D
0.674891140000000,,0xFF,0x54
0.674894140000000,,0xFF,0x65
0.674897140000000,,0xFF,0x73
0.674900140000000,,0xFF,0x74
0.674903140000000,,0xFF,0x00
0.674906140000000,,0xFF,0x00
0.674909140000000,,0xFF,0x53
0.674912140000000,,0xFF,0x65
0.674915140000000,,0xFF,0x63
0.674918140000000,,0xFF,0x74
0.674921140000000,,0xFF,0x6F
0.674924140000000,,0xFF,0x72
0.674927140000000,,0xFF,0x30
0.674930140000000,,0xFF,0x78
0.674933140000000,,0xFF,0x30
0.674936140000000,,0xFF,0x30
0.674939140000000,,0xFF,0x30
0.674942140000000,,0xFF,0x30
0.674945140000000,,0xFF,0x30
0.674948140000000,,0xFF,0x30
0.674951140000000,,0xFF,0x30
0.674954140000000,,0xFF,0x32
0.674957140000000,,0xFF,0x00
0.674960140000000,,0xFF,0x00
0.674963140000000,,0xFF,0x00
0.674966140000000,,0xFF,0x00
0.674969140000000,,0xFF,0x00
0.674972140000000,,0xFF,0x00
0.674975140000000,,0xFF,0x00
0.674978140000000,,0xFF,0x00
0.674981140000000,,0xFF,0x00
0.674984140000000,,0xFF,0x00
0.674987140000000,,0xFF,0x00
0.674990140000000,,0xFF,0x00
0.674993140000000,,0xFF,0x00
0.674996140000000,,0xFF,0x00
0.674999140000000,,0xFF,0x00
0.675002140000000,,0xFF,0x00
0.675005140000000,,0xFF,0x00
0.675008140000000,,0xFF,0x00
0.675011140000000,,0xFF,0x00
0.675014140000000,,0xFF,0x00
0.675017140000000,,0xFF,0x00
0.675020140000000,,0xFF,0x00
0.675023140000000,,0xFF,0x00
0.675026140000000,,0xFF,0x00
0.675029140000000,,0xFF,0x00
0.675032140000000,,0xFF,0x00
0.675035140000000,,0xFF,0x00
0.675038140000000,,0xFF,0x00
0.675041140000000,,0xFF,0x00
0.675044140000000,,0xFF,0x00
0.675047140000000,,0xFF,0x00
0.675050140000000,,0xFF,0x00
0.675053140000000,,0xFF,0x00
0.675056140000000,,0xFF,0x00
0.675059140000000,,0xFF,0x00
0.675062140000000,,0xFF,0x00
0.675065140000000,,0xFF,0x00
0.675068160000000,,0xFF,0x00
0.675071160000000,,0xFF,0x00
0.675074160000000,,0xFF,0x00
0.675077160000000,,0xFF,0x00
0.675080160000000,,0xFF,0x00
0.675083160000000,,0xFF,0x00
0.675086160000000,,0xFF,0x00
0.675089160000000,,0xFF,0x00
0.675092160000000,,0xFF,0x00
0.675095160000000,,0xFF,0x00
0.675098160000000,,0xFF,0x00
0.675101160000000,,0xFF,0x00
0.675104160000000,,0xFF,0x00
0.675107160000000,,0xFF,0x00
0.675110160000000,,0xFF,0x00
0.675113160000000,,0xFF,0x00
0.675116160000000,,0xFF,0x00
0.675119160000000,,0xFF,0x00
0.675122160000000,,0xFF,0x00
0.675125160000000,,0xFF,0x00
0.675128160000000,,0xFF,0x00
0.675131160000000,,0xFF,0x00
0.675134160000000,,0xFF,0x00
0.675137160000000,,0xFF,0x00
0.675140160000000,,0xFF,0x00
0.675143160000000,,0xFF,0x00
0.675146160000000,,0xFF,0x00
0.675149160000000,,0xFF,0x00
0.675152160000000,,0xFF,0x00
0.675155160000000,,0xFF,0x00
0.675158160000000,,0xFF,0x00
0.675161160000000,,0xFF,0x00
0.675164160000000,,0xFF,0x00
0.675167160000000,,0xFF,0x00
0.675170160000000,,0xFF,0x00
0.675173160000000,,0xFF,0x00
0.675176160000000,,0xFF,0x00
0.675179160000000,,0xFF,0x00
0.675182160000000,,0xFF,0x00
0.675185160000000,,0xFF,0x00
0.675188160000000,,0xFF,0x00
0.675191160000000,,0xFF,0x00
0.675194160000000,,0xFF,0x00
0.675197160000000,,0xFF,0x00
0.675200160000000,,0xFF,0x00
0.675203160000000,,0xFF,0x00
0.675206160000000,,0xFF,0x00
0.675209160000000,,0xFF,0x00
0.675212160000000,,0xFF,0x00
0.675215160000000,,0xFF,0x00
0.675218160000000,,0xFF,0x00
0.675221160000000,,0xFF,0x00
0.675224160000000,,0xFF,0x00
0.675227160000000,,0xFF,0x00
0.675230160000000,,0xFF,0x00
0.675233160000000,,0xFF,0x00
0.675236160000000,,0xFF,0x00
0.675239160000000,,0xFF,0x00
0.675242160000000,,0xFF,0x00
0.675245160000000,,0xFF,0x00
0.675248440000000,,0xFF,0x00
0.675251440000000,,0xFF,0x00
0.675254440000000,,0xFF,0x00
0.675257440000000,,0xFF,0x00
0.675260440000000,,0xFF,0x00
0.675263440000000,,0xFF,0x00
0.675266440000000,,0xFF,0x00
0.675269440000000,,0xFF,0x00
0.675272440000000,,0xFF,0x00
0.675275440000000,,0xFF,0x00
0.675278440000000,,0xFF,0x00
0.675281440000000,,0xFF,0x00
0.675284440000000,,0xFF,0x00
0.675287440000000,,0xFF,0x00
0.675290440000000,,0xFF,0x00
0.675293440000000,,0xFF,0x00
0.675296440000000,,0xFF,0x00
0.675299440000000,,0xFF,0x00
0.675302440000000,,0xFF,0x00
0.675305440000000,,0xFF,0x00
0.675308440000000,,0xFF,0x00
0.675311440000000,,0xFF,0x00
0.675314440000000,,0xFF,0x00
0.675317440000000,,0xFF,0x00
0.675320440000000,,0xFF,0x00
0.675323440000000,,0xFF,0x00
0.675326440000000,,0xFF,0x00
0.675329440000000,,0xFF,0x00
0.675332440000000,,0xFF,0x00
0.675335440000000,,0xFF,0x00
0.675338440000000,,0xFF,0x00
0.675341440000000,,0xFF,0x00
0.675344440000000,,0xFF,0x00
0.675347440000000,,0xFF,0x00
0.675350440000000,,0xFF,0x00
0.675353440000000,,0xFF,0x00
0.675356440000000,,0xFF,0x00
0.675359440000000,,0xFF,0x00
0.675362440000000,,0xFF,0x00
0.675365440000000,,0xFF,0x00
0.675368460000000,,0xFF,0x00
0.675371440000000,,0xFF,0x00
0.675374460000000,,0xFF,0x00
0.675377460000000,,0xFF,0x00
0.675380460000000,,0xFF,0x00
0.675383460000000,,0xFF,0x00
0.675386460000000,,0xFF,0x00
0.675389460000000,,0xFF,0x00
0.675392460000000,,0xFF,0x00
0.675395460000000,,0xFF,0x00
0.675398460000000,,0xFF,0x00
0.675401460000000,,0xFF,0x00
0.675404460000000,,0xFF,0x00
0.675407460000000,,0xFF,0x00
0.675410460000000,,0xFF,0x00
0.675413460000000,,0xFF,0x00
0.675416460000000,,0xFF,0x00
0.675419460000000,,0xFF,0x00
0.675422460000000,,0xFF,0x00
0.675425460000000,,0xFF,0x00
0.675428460000000,,0xFF,0x00
0.675431460000000,,0xFF,0x00
0.675434460000000,,0xFF,0x00
0.675437460000000,,0xFF,0x00
0.675440460000000,,0xFF,0x00
0.675443460000000,,0xFF,0x00
0.675446460000000,,0xFF,0x00
0.675449460000000,,0xFF,0x00
0.675452460000000,,0xFF,0x00
0.675455460000000,,0xFF,0x00
0.675458460000000,,0xFF,0x00
0.675461460000000,,0xFF,0x00
0.675464460000000,,0xFF,0x00
0.675467460000000,,0xFF,0x00
0.675470460000000,,0xFF,0x00
0.675473460000000,,0xFF,0x00
0.675476460000000,,0xFF,0x00
0.675479460000000,,0xFF,0x00
0.675482460000000,,0xFF,0x00
0.675485460000000,,0xFF,0x00
0.675488460000000,,0xFF,0x00
0.675491460000000,,0xFF,0x00
0.675494460000000,,0xFF,0x00
0.675497460000000,,0xFF,0x00
0.675500460000000,,0xFF,0x00
0.675503460000000,,0xFF,0x00
0.675506460000000,,0xFF,0x00
0.675509460000000,,0xFF,0x00
0.675512460000000,,0xFF,0x00
0.675515460000000,,0xFF,0x00
0.675518460000000,,0xFF,0x00
0.675521460000000,,0xFF,0x00
0.675524460000000,,0xFF,0x00
0.675527460000000,,0xFF,0x00
0.675530460000000,,0xFF,0x00
0.675533460000000,,0xFF,0x00
0.675536460000000,,0xFF,0x00
0.675539460000000,,0xFF,0x00
0.675542460000000,,0xFF,0x00
0.675545460000000,,0xFF,0x00
0.675548460000000,,0xFF,0x00
0.675551460000000,,0xFF,0x00
0.675554460000000,,0xFF,0x00
0.675557460000000,,0xFF,0x00
0.675560460000000,,0xFF,0x00
0.675563460000000,,0xFF,0x00
0.675566460000000,,0xFF,0x00
0.675569460000000,,0xFF,0x00
0.675572460000000,,0xFF,0x00
0.675575460000000,,0xFF,0x00
0.675578460000000,,0xFF,0x00
0.675581460000000,,0xFF,0x00
0.675584460000000,,0xFF,0x00
0.675587460000000,,0xFF,0x00
0.675590460000000,,0xFF,0x00
0.675593460000000,,0xFF,0x00
0.675596460000000,,0xFF,0x00
0.675599460000000,,0xFF,0x00
0.675602460000000,,0xFF,0x00
0.675605460000000,,0xFF,0x00
0.675608460000000,,0xFF,0x00
0.675611460000000,,0xFF,0x00
0.675614460000000,,0xFF,0x00
0.675617460000000,,0xFF,0x00
0.675620460000000,,0xFF,0x00
0.675623460000000,,0xFF,0x00
0.675626460000000,,0xFF,0x00
0.675629460000000,,0xFF,0x00
0.675632740000000,,0xFF,0x00
0.675635740000000,,0xFF,0x00
0.675638740000000,,0xFF,0x00
0.675641740000000,,0xFF,0x00
0.675644740000000,,0xFF,0x00
0.675647740000000,,0xFF,0x00
0.675650740000000,,0xFF,0x00
0.675653740000000,,0xFF,0x00
0.675656740000000,,0xFF,0x00
0.675659740000000,,0xFF,0x00
0.675662740000000,,0xFF,0x00
0.675665740000000,,0xFF,0x00
0.675668740000000,,0xFF,0x00
0.675671760000000,,0xFF,0x00
0.675674760000000,,0xFF,0x00
0.675677760000000,,0xFF,0x00
0.675680760000000,,0xFF,0x00
0.675683760000000,,0xFF,0x00
0.675686760000000,,0xFF,0x00
0.675689760000000,,0xFF,0x00
0.675692760000000,,0xFF,0x00
0.675695760000000,,0xFF,0x00
0.675698760000000,,0xFF,0x00
0.675701760000000,,0xFF,0x00
0.675704760000000,,0xFF,0x00
0.675707760000000,,0xFF,0x00
0.675710760000000,,0xFF,0x00
0.675713760000000,,0xFF,0x00
0.675716760000000,,0xFF,0x00
0.675719760000000,,0xFF,0x00
0.675722760000000,,0xFF,0x00
0.675725760000000,,0xFF,0x00
0.675728760000000,,0xFF,0x00
0.675731760000000,,0xFF,0x00
0.675734760000000,,0xFF,0x00
0.675737760000000,,0xFF,0x00
0.675740760000000,,0xFF,0x00
0.675743760000000,,0xFF,0x00
0.675746760000000,,0xFF,0x00
0.675749760000000,,0xFF,0x00
0.675752760000000,,0xFF,0x00
0.675755760000000,,0xFF,0x00
0.675758760000000,,0xFF,0x00
0.675761760000000,,0xFF,0x00
0.675764760000000,,0xFF,0x00
0.675767760000000,,0xFF,0x00
0.675770760000000,,0xFF,0x00
0.675773760000000,,0xFF,0x00
0.675776760000000,,0xFF,0x00
0.675779760000000,,0xFF,0x00
0.675782760000000,,0xFF,0x00
0.675785760000000,,0xFF,0x00
0.675788760000000,,0xFF,0x00
0.675791760000000,,0xFF,0x00
0.675794760000000,,0xFF,0x00
0.675797760000000,,0xFF,0x00
0.675800760000000,,0xFF,0x00
0.675803760000000,,0xFF,0x00
0.675806760000000,,0xFF,0x00
0.675809760000000,,0xFF,0x00
0.675812760000000,,0xFF,0x00
0.675815760000000,,0xFF,0x00
0.675818760000000,,0xFF,0x00
0.675821760000000,,0xFF,0x00
0.675824760000000,,0xFF,0x00
0.675827760000000,,0xFF,0x00
0.675830760000000,,0xFF,0x00
0.675833760000000,,0xFF,0x00
0.675836760000000,,0xFF,0x00
0.675839760000000,,0xFF,0x00
0.675842760000000,,0xFF,0x00
0.675845760000000,,0xFF,0x00
0.675848760000000,,0xFF,0x00
0.675851760000000,,0xFF,0x00
0.675854760000000,,0xFF,0x00
0.675857760000000,,0xFF,0x00
0.675860760000000,,0xFF,0x00
0.675863760000000,,0xFF,0x00
0.675866760000000,,0xFF,0x00
0.675869760000000,,0xFF,0x00
0.675872760000000,,0xFF,0x00
0.675875760000000,,0xFF,0x00
0.675878760000000,,0xFF,0x00
0.675881760000000,,0xFF,0x00
0.675884760000000,,0xFF,0x00
0.675887760000000,,0xFF,0x00
0.675890760000000,,0xFF,0x00
0.675893760000000,,0xFF,0x00
0.675896760000000,,0xFF,0x00
0.675899760000000,,0xFF,0x00
0.675902760000000,,0xFF,0x00
0.675905760000000,,0xFF,0x00
0.675908760000000,,0xFF,0x00
0.675911760000000,,0xFF,0x00
0.675914760000000,,0xFF,0x00
0.675917760000000,,0xFF,0x00
0.675920760000000,,0xFF,0x00
0.675923760000000,,0xFF,0x00
0.675926760000000,,0xFF,0x00
0.675929760000000,,0xFF,0x00
0.675932760000000,,0xFF,0x00
0.675935760000000,,0xFF,0x00
0.675938760000000,,0xFF,0x00
0.675941760000000,,0xFF,0x00
0.675944760000000,,0xFF,0x00
0.675947760000000,,0xFF,0x00
0.675950760000000,,0xFF,0x00
0.675953760000000,,0xFF,0x00
0.675956760000000,,0xFF,0x00
0.675959760000000,,0xFF,0x00
0.675962760000000,,0xFF,0x00
0.675965760000000,,0xFF,0x00
0.675968760000000,,0xFF,0x00
0.675971760000000,,0xFF,0x00
0.675974760000000,,0xFF,0x00
0.675977760000000,,0xFF,0x00
0.675980760000000,,0xFF,0x00
0.675983760000000,,0xFF,0x00
0.675986760000000,,0xFF,0x00
0.675989760000000,,0xFF,0x00
0.675992760000000,,0xFF,0x00
0.675995760000000,,0xFF,0x00
0.675998760000000,,0xFF,0x00
0.676001760000000,,0xFF,0x00
0.676004760000000,,0xFF,0x00
0.676007760000000,,0xFF,0x00
0.676010760000000,,0xFF,0x00
0.676013760000000,,0xFF,0x00
0.676017060000000,,0xFF,0x00
0.676020060000000,,0xFF,0x00
0.676023060000000,,0xFF,0x00
0.676026060000000,,0xFF,0x00
0.676029060000000,,0xFF,0x00
0.676032060000000,,0xFF,0x00
0.676035060000000,,0xFF,0x00
0.676038060000000,,0xFF,0x00
0.676041060000000,,0xFF,0x00
0.676044060000000,,0xFF,0x00
0.676047060000000,,0xFF,0x00
0.676050060000000,,0xFF,0x00
0.676053060000000,,0xFF,0x00
0.676056060000000,,0xFF,0x00
0.676059060000000,,0xFF,0x00
0.676062060000000,,0xFF,0x00
0.676065060000000,,0xFF,0x00
0.676068060000000,,0xFF,0x00
0.676071060000000,,0xFF,0x00
0.676074060000000,,0xFF,0x00
0.676077060000000,,0xFF,0x00
0.676080060000000,,0xFF,0x00
0.676083060000000,,0xFF,0x00
0.676086060000000,,0xFF,0x00
0.676089060000000,,0xFF,0x00
0.676092060000000,,0xFF,0x00
0.676095060000000,,0xFF,0x00
0.676098060000000,,0xFF,0x00
0.676101060000000,,0xFF,0x00
0.676104060000000,,0xFF,0x00
0.676107060000000,,0xFF,0x00
0.676110060000000,,0xFF,0x00
0.676113060000000,,0xFF,0x00
0.676116060000000,,0xFF,0x00
0.676119060000000,,0xFF,0x00
0.676122060000000,,0xFF,0x00
0.676125060000000,,0xFF,0x00
0.676128060000000,,0xFF,0x00
0.676131060000000,,0xFF,0x00
0.676134060000000,,0xFF,0x00
0.676137060000000,,0xFF,0x00
0.676140060000000,,0xFF,0x00
0.676143060000000,,0xFF,0x00
0.676146060000000,,0xFF,0x00
0.676149060000000,,0xFF,0x00
0.676152060000000,,0xFF,0x00
0.676155060000000,,0xFF,0x00
0.676158060000000,,0xFF,0x00
0.676161060000000,,0xFF,0x00
0.676164060000000,,0xFF,0x00
0.676167060000000,,0xFF,0x00
0.676170060000000,,0xFF,0x00
0.676173060000000,,0xFF,0x00
0.676176060000000,,0xFF,0x00
0.676179060000000,,0xFF,0x00
0.676182060000000,,0xFF,0x00
0.676185060000000,,0xFF,0x00
0.676188060000000,,0xFF,0x00
0.676191060000000,,0xFF,0x00
0.676194060000000,,0xFF,0x00
0.676197060000000,,0xFF,0x00
0.676200060000000,,0xFF,0x00
0.676203060000000,,0xFF,0x00
0.676206060000000,,0xFF,0x00
0.676209060000000,,0xFF,0x00
0.676212060000000,,0xFF,0x00
0.676215060000000,,0xFF,0x00
0.676218060000000,,0xFF,0x00
0.676221060000000,,0xFF,0x00
0.676224060000000,,0xFF,0x00
0.676227060000000,,0xFF,0x00
0.676230060000000,,0xFF,0x00
0.676233060000000,,0xFF,0x00
0.676236060000000,,0xFF,0x00
0.676239060000000,,0xFF,0x00
0.676242060000000,,0xFF,0x00
0.676245060000000,,0xFF,0x00
0.676248060000000,,0xFF,0x00
0.676251060000000,,0xFF,0x00
0.676254060000000,,0xFF,0x00
0.676257060000000,,0xFF,0x00
0.676260060000000,,0xFF,0x00
0.676263060000000,,0xFF,0x00
0.676266060000000,,0xFF,0x00
0.676269060000000,,0xFF,0x00
0.676272060000000,,0xFF,0x00
0.676275060000000,,0xFF,0x00
0.676278060000000,,0xFF,0x00
0.676281060000000,,0xFF,0x00
0.676284060000000,,0xFF,0x00
0.676287060000000,,0xFF,0x00
0.676290060000000,,0xFF,0x00
0.676293060000000,,0xFF,0x00
0.676296060000000,,0xFF,0x00
0.676299060000000,,0xFF,0x00
0.676302060000000,,0xFF,0x53
0.676305060000000,,0xFF,0x65
0.676308060000000,,0xFF,0x63
0.676311060000000,,0xFF,0x74
0.676314060000000,,0xFF,0x6F
0.676317060000000,,0xFF,0x72
0.676320060000000,,0xFF,0x30
0.676323060000000,,0xFF,0x78
0.676326060000000,,0xFF,0x30
0.676329060000000,,0xFF,0x30
0.676332060000000,,0xFF,0x30
0.676335060000000,,0xFF,0x30
0.676338060000000,,0xFF,0x30
0.676341060000000,,0xFF,0x30
0.676344060000000,,0xFF,0x30
0.676347060000000,,0xFF,0x32
0.676350060000000,,0xFF,0x00
0.676353060000000,,0xFF,0x00
0.676356060000000,,0xFF,0x00
